Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
2022-01-19_16:23:16,2022-01-19_16:30:00,F32,11,0,0,0,0,0,0,0,0,0,0
2022-01-19_16:32:01,2022-01-19_16:51:22,F32,11,0,0,0,0,0,0,0,0,0,0
2022-01-20_10:49:49,2022-01-21_11:57:37,F32,11,759218,772385,5522,768,66,36,2244,849,113,9091
2022-01-21_11:58:03,2022-01-21_14:28:42,F32,11,82543,84015,558,294,16,20,263,160,8,711
2022-01-21_14:29:02,2022-01-21_14:41:42,F32,11,6934,7028,49,23,0,1,14,9,3,44
2022-01-21_14:42:26,2022-01-21_14:43:12,F32,11,381,390,11,1,0,0,3,1,0,4
2022-01-21_14:43:48,2022-01-21_22:48:38,F32,11,265237,270312,1822,875,66,74,1752,365,33,1910
2022-01-21_22:49:27,2022-01-24_08:19:31,F32,11,1719285,1760813,12559,1980,173,181,16073,1025,277,21819
2022-01-24_08:20:58,2022-01-24_09:25:59,F32,11,31724,32343,256,116,47,22,158,33,0,129,114
2022-01-24_09:27:39,2022-01-24_11:07:20,F32,11,47299,48644,325,578,22,21,464,21,1,238
2022-01-24_11:14:59,2022-01-25_08:23:36,F32,11,579844,588708,3874,748,30,29,3811,562,85,3599
2022-01-25_08:24:40,2022-01-25_08:26:21,F32,11,903,914,10,0,0,0,3,2,0,6
2022-01-25_08:27:44,2022-01-27_08:49:42,F32,11,1562319,1588770,11458,3939,128,508,8998,2229,163,8223,2263
2022-01-27_08:51:24,2022-01-27_13:58:48,F32,11,93203,94918,707,59,17,34,636,170,1,798
2022-01-27_13:59:35,2022-01-28_08:39:48,F32,11,610931,623546,4667,356,77,30,1570,497,35,10050
2022-01-28_08:40:30,2022-01-28_08:43:18,F32,11,1496,1539,18,17,0,1,4,4,0,16,1
2022-01-28_08:44:20,2022-01-28_10:28:01,F32,11,56764,57781,412,98,7,73,141,115,0,583
2022-01-28_10:30:17,2022-01-28_17:03:30,F32,11,211355,217758,1715,352,96,20,1173,523,16,4223
2022-01-28_17:04:54,2022-01-31_09:49:54,F32,11,1500351,1546646,42766,964,248,30090,5925,1524,26,7518
2022-01-31_09:50:49,2022-01-31_11:45:51,F32,11,52248,53594,467,55,1,133,243,91,13,810
2022-01-31_11:46:26,2022-02-03_08:20:34,F32,11,1874892,1907562,16266,734,70,5148,14002,2729,166,9821
2022-02-03_08:21:01,2022-02-04_09:56:49,F32,11,708211,716127,5847,364,18,159,4730,755,86,1804
2022-02-04_10:06:56,2022-02-04_15:24:54,F32,11,146795,148391,1094,56,10,45,1087,72,27,299
2022-02-04_15:25:58,2022-02-04_15:47:35,F32,11,9902,10072,94,14,15,2,103,23,0,13
2022-02-04_15:48:14,2022-02-04_16:48:14,F32,11,27716,27971,227,7,0,3,166,31,3,45
2022-02-04_16:52:42,2022-02-08_09:08:41,F32,11,2408026,2431160,21292,933,52,506,14693,3124,207,3619
2022-02-08_09:10:15,2022-02-09_17:39:02,F32,11,898171,907437,8431,572,68,196,5137,1472,76,1745
2022-02-10_02:23:36,2022-02-10_19:54:58,F32,11,300695,308326,2940,303,37,426,4646,1004,455,760
2022-02-10_19:58:32,2022-02-10_20:01:10,F32,11,1205,1233,8,1,0,1,19,1,0,6
2022-02-10_20:01:27,2022-02-11_02:16:49,F32,11,172484,174783,1696,143,10,68,1098,167,193,620
2022-02-11_15:34:10,2022-02-11_15:34:56,F32,11,358,366,0,0,0,0,6,0,1,1
2022-02-12_08:23:16,2022-02-17_16:22:26,F32,11,3327999,3377837,40687,5139,263,631,29627,4717,349,9112
2022-02-17_16:23:45,2022-02-17_17:52:49,F32,11,48359,49413,594,211,3,6,545,127,3,159
2022-02-17_17:53:07,2022-02-17_18:06:48,F32,11,7455,7584,87,20,0,4,85,13,1,6
2022-02-17_18:07:05,2022-02-17_18:18:16,F32,11,6068,6176,67,15,0,3,66,15,0,9
2022-02-28_09:44:37,2022-03-02_15:47:05,F32,11,923732,936950,19698,1292,124,372,4540,2892,235,3763
2022-03-02_15:48:19,2022-03-10_14:59:10,F32,11,5414621,5479408,59813,8380,365,735,27272,10440,496,17099
2022-03-10_14:59:51,2022-03-10_15:06:44,F32,11,3120,3170,31,2,0,2,15,21,1,9
2022-03-10_15:07:06,2022-03-10_15:18:00,F32,11,5026,5077,41,2,0,2,24,5,0,18
2022-03-10_15:18:18,2022-03-10_17:37:01,F32,11,63750,64397,532,27,2,10,272,48,8,280
2022-03-15_11:35:46,2022-03-24_09:03:03,F32,11,5872132,5943686,52242,8783,881,2103,20280,15547,1029,22931
2022-03-24_09:04:04,2022-03-24_09:09:13,F32,11,2746,2764,42,1,0,2,1,6,0,8
2022-03-24_09:22:52,2022-03-28_08:29:38,F32,11,3093627,3129203,38264,6038,1643,1572,10234,6994,621,8474
2022-03-28_08:30:50,2022-03-30_14:41:17,F32,11,1469941,1488082,17180,3457,630,562,7532,3987,398,1575
2022-03-30_14:43:29,2022-04-02_11:06:47,F32,11,1448580,1475558,29164,4585,263,975,9442,3532,265,7916
2022-04-02_12:21:33,2022-04-04_09:43:47,F32,11,1134877,1170429,70167,3866,204,622,9614,1719,148,19379
2022-04-04_09:44:22,2022-04-04_10:15:07,F32,11,12604,13157,856,52,7,2,84,11,0,397
2022-04-04_10:22:23,2022-04-04_10:33:09,F32,11,4433,4651,244,11,6,3,26,8,1,163
2022-04-04_10:36:53,2022-04-04_14:19:55,F32,11,93232,96259,5564,386,24,17,589,223,14,1774
2022-04-04_14:20:17,2022-04-04_14:22:53,F32,11,1041,1080,79,3,0,0,5,1,0,30
2022-04-04_14:23:09,2022-04-04_14:43:06,F32,11,8294,8549,548,32,2,0,41,18,1,161
2022-04-04_14:43:24,2022-04-06_07:19:32,F32,11,997581,1042566,45316,4199,474,292,8459,1926,265,29370
2022-04-07_12:46:32,2022-04-13_20:08:02,F32,11,3592453,3646162,41521,10589,945,833,22088,6492,675,12087
2022-04-22_09:03:29,2022-04-22_09:43:37,F32,11,161,204,0,0,0,0,3,40,0,0
2022-04-22_09:44:03,2022-04-28_09:31:47,F32,11,2848609,2899688,25639,8999,385,728,24933,4792,613,10629
2022-04-28_17:30:07,2022-05-06_10:38:56,F32,11,5204105,5269221,18150,18742,768,683,28478,8897,756,6792
2022-05-08_10:23:33,2022-05-10_10:51:37,F32,11,1342208,1358318,5612,3069,231,202,5409,3780,321,3098
2022-05-10_10:53:45,2022-05-11_03:00:01,F32,11,446898,451870,2263,686,76,63,2063,380,113,1591
2022-05-11_07:19:06,2022-05-11_10:13:01,F32,11,75593,76587,393,120,25,9,423,112,13,292
