State,Start Time,End Time,Factory,Line,Good Glove,Produced Glove,Empty Link,Cuff TR,No beading ,Palm TR,Unstripped,No glove ,Functional,Others
Running,2022-04-04_14:00:00,2022-04-04_14:19:55,F32,11,8206,8481,518,27,2,0,43,4,1,198
Running,2022-04-04_14:20:15,2022-04-04_14:22:53,F32,11,1041,1080,79,3,0,0,5,1,0,30
Running,2022-04-04_14:23:07,2022-04-04_14:43:06,F32,11,8294,8549,548,32,2,0,41,18,1,161
Running,2022-04-04_14:43:23,2022-04-04_15:00:00,F32,11,6681,6982,532,14,2,3,57,7,1,217
Running,2022-04-04_15:00:00,2022-04-04_16:00:00,F32,11,24323,25345,1758,75,8,7,153,85,4,690
Running,2022-04-04_16:00:00,2022-04-04_17:00:00,F32,11,24795,25822,1567,70,5,5,179,43,4,721
Running,2022-04-04_17:00:00,2022-04-04_18:00:00,F32,11,25029,26077,1281,68,5,6,212,28,5,724
Running,2022-04-04_18:00:00,2022-04-04_19:00:00,F32,11,25067,26131,1229,56,6,4,200,41,4,753
Running,2022-04-04_19:00:00,2022-04-04_20:00:00,F32,11,25126,26198,1202,58,11,10,153,59,8,773
Running,2022-04-04_20:00:00,2022-04-04_21:00:00,F32,11,25228,26312,1044,68,12,6,140,88,2,768
Running,2022-04-04_21:00:00,2022-04-04_22:00:00,F32,11,25182,26243,1095,79,5,2,143,48,4,780
Running,2022-04-04_22:00:00,2022-04-04_23:00:00,F32,11,25152,26281,1090,77,10,5,144,26,8,859
Running,2022-04-04_23:00:00,2022-04-05_00:00:00,F32,11,24993,26101,1054,63,8,10,136,72,7,812
Running,2022-04-05_00:00:00,2022-04-05_01:00:00,F32,11,25176,26250,1062,78,11,12,140,37,5,791
Running,2022-04-05_01:00:00,2022-04-05_02:00:00,F32,11,25235,26315,1004,73,20,6,144,40,4,793
Running,2022-04-05_02:00:00,2022-04-05_03:00:00,F32,11,25122,26185,957,113,10,7,170,35,3,725
Running,2022-04-05_03:00:00,2022-04-05_04:00:00,F32,11,24971,26106,893,100,28,9,173,42,7,776
Running,2022-04-05_04:00:00,2022-04-05_05:00:00,F32,11,25214,26228,940,80,19,5,175,33,7,695
Running,2022-04-05_05:00:00,2022-04-05_06:00:00,F32,11,25089,26162,981,97,20,8,169,27,5,747
Running,2022-04-05_06:00:00,2022-04-05_07:00:00,F32,11,25123,26258,993,106,19,5,190,102,9,704
Running,2022-04-05_07:00:00,2022-04-05_08:00:00,F32,11,24376,25498,1265,101,16,9,231,37,3,725
Running,2022-04-05_08:00:00,2022-04-05_09:00:00,F32,11,21876,24386,2714,141,9,6,489,68,3,1794
Running,2022-04-05_09:00:00,2022-04-05_10:00:00,F32,11,21537,24358,2976,164,7,8,194,60,3,2385
Running,2022-04-05_10:00:00,2022-04-05_11:00:00,F32,11,21677,24372,2944,114,5,14,226,44,5,2287
Running,2022-04-05_11:00:00,2022-04-05_12:00:00,F32,11,21015,23869,3471,161,4,11,240,30,7,2401
Running,2022-04-05_12:00:00,2022-04-05_13:00:00,F32,11,21298,24054,3280,151,15,9,238,81,5,2257
Running,2022-04-05_13:00:00,2022-04-05_14:00:00,F32,11,22283,24858,2490,185,19,11,415,56,7,1882
Running,2022-04-05_14:00:00,2022-04-05_15:00:00,F32,11,21155,23979,3351,162,11,13,343,97,5,2193
Running,2022-04-05_15:00:00,2022-04-05_15:27:49,F32,11,11263,11697,383,40,7,1,95,41,4,246
Bypassing,2022-04-05_15:27:49,2022-04-05_15:57:01,F32,11,0,9,0,0,0,0,1,8,0,0
Running,2022-04-05_15:57:01,2022-04-05_15:57:04,F32,11,0,0,0,0,0,0,0,0,0,0
Bypassing,2022-04-05_15:57:04,2022-04-05_16:00:00,F32,11,0,6,0,0,0,1,0,5,0,0
Bypassing,2022-04-05_16:00:00,2022-04-05_16:08:31,F32,11,0,0,0,0,0,0,0,0,0,0
Running,2022-04-05_16:08:31,2022-04-05_17:00:00,F32,11,22230,22697,197,87,3,3,279,37,8,50
Running,2022-04-05_17:00:00,2022-04-05_18:00:00,F32,11,26627,27132,286,80,6,6,308,39,7,59
Running,2022-04-05_18:00:00,2022-04-05_19:00:00,F32,11,26764,27157,257,97,6,7,188,24,13,58
Running,2022-04-05_19:00:00,2022-04-05_20:00:00,F32,11,26739,27153,269,103,5,6,204,19,11,66
Running,2022-04-05_20:00:00,2022-04-05_21:00:00,F32,11,26635,27129,277,113,8,7,248,36,13,69
Running,2022-04-05_21:00:00,2022-04-05_22:00:00,F32,11,26670,27140,264,126,7,5,236,29,9,58
Running,2022-04-05_22:00:00,2022-04-05_23:00:00,F32,11,26813,27180,244,87,9,9,175,33,10,44
Running,2022-04-05_23:00:00,2022-04-06_00:00:00,F32,11,26783,27185,230,88,11,6,182,47,10,58
Running,2022-04-06_00:00:00,2022-04-06_01:00:00,F32,11,26654,27180,234,130,12,2,267,30,10,75
Running,2022-04-06_01:00:00,2022-04-06_02:00:00,F32,11,26722,27186,226,100,14,10,217,63,8,52
Running,2022-04-06_02:00:00,2022-04-06_03:00:00,F32,11,26723,27165,239,146,22,10,173,25,8,58
Running,2022-04-06_03:00:00,2022-04-06_04:00:00,F32,11,26735,27183,235,157,17,5,153,50,5,61
Running,2022-04-06_04:00:00,2022-04-06_05:00:00,F32,11,26773,27175,244,125,18,8,166,26,8,51
Running,2022-04-06_05:00:00,2022-04-06_06:00:00,F32,11,26771,27179,235,107,22,7,184,33,8,47
Running,2022-04-06_06:00:00,2022-04-06_07:00:00,F32,11,26460,26908,250,124,16,7,182,62,5,52
Running,2022-04-06_07:00:00,2022-04-06_07:18:29,F32,11,7496,7732,73,35,6,1,147,30,3,14
Bypassing,2022-04-06_07:18:29,2022-04-06_07:19:32,F32,11,0,3,0,0,0,0,0,3,0,0
Running,2022-04-07_12:46:30,2022-04-07_13:00:00,F32,11,5991,6105,49,14,0,2,73,4,2,19
Running,2022-04-07_13:00:00,2022-04-07_14:00:00,F32,11,26672,27173,249,95,6,6,280,33,7,74
Running,2022-04-07_14:00:00,2022-04-07_15:00:00,F32,11,26701,27195,236,106,6,3,247,58,6,68
Running,2022-04-07_15:00:00,2022-04-07_16:00:00,F32,11,26813,27183,250,98,5,3,169,20,7,68
Running,2022-04-07_16:00:00,2022-04-07_17:00:00,F32,11,26830,27201,230,74,3,1,204,18,7,64
Running,2022-04-07_17:00:00,2022-04-07_18:00:00,F32,11,26758,27205,223,73,6,4,282,24,4,54
Running,2022-04-07_18:00:00,2022-04-07_19:00:00,F32,11,26656,27185,240,79,8,5,345,35,6,51
Running,2022-04-07_19:00:00,2022-04-07_20:00:00,F32,11,26671,27199,222,90,9,2,305,45,5,72
Running,2022-04-07_20:00:00,2022-04-07_21:00:00,F32,11,26719,27154,270,89,6,7,222,36,4,71
Running,2022-04-07_21:00:00,2022-04-07_22:00:00,F32,11,26581,27169,245,127,11,5,320,48,6,71
Running,2022-04-07_22:00:00,2022-04-07_23:00:00,F32,11,26576,27169,246,173,13,7,289,43,7,61
Running,2022-04-07_23:00:00,2022-04-08_00:00:00,F32,11,26589,27117,255,157,6,8,218,35,4,100
Running,2022-04-08_00:00:00,2022-04-08_01:00:00,F32,11,26666,27149,257,126,14,8,213,45,3,74
Running,2022-04-08_01:00:00,2022-04-08_02:00:00,F32,11,26812,27193,229,84,7,11,174,30,5,70
Running,2022-04-08_02:00:00,2022-04-08_03:00:00,F32,11,26780,27163,257,86,10,6,156,43,5,77
Running,2022-04-08_03:00:00,2022-04-08_04:00:00,F32,11,26786,27175,243,87,10,4,177,51,8,52
Running,2022-04-08_04:00:00,2022-04-08_05:00:00,F32,11,26774,27189,227,100,11,6,193,37,2,66
Running,2022-04-08_05:00:00,2022-04-08_06:00:00,F32,11,26731,27156,254,101,8,5,191,52,7,61
Running,2022-04-08_06:00:00,2022-04-08_07:00:00,F32,11,26787,27177,237,88,7,6,177,46,7,59
Running,2022-04-08_07:00:00,2022-04-08_08:00:00,F32,11,26687,27092,248,82,4,1,186,67,7,58
Running,2022-04-08_08:00:00,2022-04-08_09:00:00,F32,11,26620,27059,252,94,6,2,186,59,7,85
Running,2022-04-08_09:00:00,2022-04-08_10:00:00,F32,11,26649,27172,241,97,4,3,234,107,4,74
Running,2022-04-08_10:00:00,2022-04-08_11:00:00,F32,11,26649,27148,260,74,3,6,307,36,4,69
Running,2022-04-08_11:00:00,2022-04-08_12:00:00,F32,11,26349,27129,274,155,11,15,455,55,5,84
Running,2022-04-08_12:00:00,2022-04-08_13:00:00,F32,11,23149,23619,228,50,6,33,202,115,2,62
Running,2022-04-08_13:00:00,2022-04-08_14:00:00,F32,11,26778,27169,246,33,3,5,264,23,5,58
Running,2022-04-08_14:00:00,2022-04-08_15:00:00,F32,11,26692,27162,254,40,3,5,319,41,8,54
Running,2022-04-08_15:00:00,2022-04-08_16:00:00,F32,11,27390,27854,241,33,1,6,301,21,7,95
Running,2022-04-08_16:00:00,2022-04-08_17:00:00,F32,11,27263,27779,410,36,4,4,318,64,5,85
Running,2022-04-08_17:00:00,2022-04-08_18:00:00,F32,11,27434,27799,397,32,2,2,197,24,10,98
Running,2022-04-08_18:00:00,2022-04-08_19:00:00,F32,11,27454,27805,399,31,2,6,190,26,2,94
Running,2022-04-08_19:00:00,2022-04-08_20:00:00,F32,11,27474,27802,404,52,5,7,165,14,5,80
Running,2022-04-08_20:00:00,2022-04-08_21:00:00,F32,11,27426,27804,396,53,3,5,177,23,6,111
Running,2022-04-08_21:00:00,2022-04-08_22:00:00,F32,11,27418,27793,409,46,2,7,165,36,3,116
Running,2022-04-08_22:00:00,2022-04-08_23:00:00,F32,11,27432,27806,392,67,4,6,171,17,6,103
Running,2022-04-08_23:00:00,2022-04-09_00:00:00,F32,11,27421,27785,412,69,8,8,152,27,6,94
Running,2022-04-09_00:00:00,2022-04-09_01:00:00,F32,11,27377,27781,416,66,8,6,208,32,4,80
Running,2022-04-09_01:00:00,2022-04-09_02:00:00,F32,11,27490,27811,390,66,2,9,150,34,4,56
